Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,246664,246664,4194304,256,0,0,12,24,101312,0x7fd2d0f1da00,0x7fd2d0e5c400,1508227,1508227,65536,3276800,571896,64040296,477209316448410,477209316390082,477209317944969,477209317989657
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,246664,246664,4194304,256,0,0,12,24,102784,0x7fd2d0f1d880,0x7fd2d0e5c440,1509293,1509293,65536,3080192,495682,55542676,477209318003037,477209317944969,477209319506096,477209319546484
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,246664,246664,4194304,256,0,0,12,24,104256,0x7fd2d0f1d700,0x7fd2d0e5c480,1457103,1457103,65536,3211264,510588,57148880,477209319558773,477209319506096,477209321032982,477209321075931
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,246664,246664,4194304,256,0,0,12,24,106240,0x7fd2d31cd580,0x7fd2d0e5c4c0,1479280,1479280,65536,4128768,726371,81302476,477209321090100,477209321032982,477209322568829,477209322611418
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,246664,246664,4194304,256,0,0,12,24,107712,0x7fd2d31cd400,0x7fd2d0e5c500,1454760,1454760,65536,2752512,451578,50669192,477209322632327,477209322568829,477209324096676,477209324136705
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,246664,246664,4194304,256,0,0,16,24,109440,0x7fd2d31cd280,0x7fd2d0e5c540,1475975,1475975,65536,3407872,546233,61142936,477209324150165,477209324096676,477209325638923,477209325678362
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,246664,246664,4194304,256,0,0,16,24,111168,0x7fd2d31cd100,0x7fd2d0e5c580,1523472,1523472,65536,3211264,504319,56417900,477209325692052,477209325638923,477209327205009,477209327248238
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,246664,246664,4194304,256,0,0,8,24,112896,0x7fd2d0f1df80,0x7fd2d0e5c5c0,1460533,1460533,65536,3276800,552578,61958620,477209327260448,477209327205009,477209328734136,477209328774525
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,246664,246664,4194304,256,0,0,12,24,115136,0x7fd2d0f1de00,0x7fd2d0e5c600,1476623,1476623,65536,4325376,689890,77347720,477209328788575,477209328734136,477209330276543,477209330317212
92,"void benchmark_func<float, 256, 8u, 18u>(float, float*) [clone .kd]",0,0,275,246664,246664,4194304,256,0,0,12,24,116608,0x7fd2d0f1dc80,0x7fd2d0e5c640,1484939,1484939,65536,2818048,456971,51169732,477209330338522,477209330276543,477209331813990,477209331858900
93,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 18u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,278,246664,246664,4194304,256,0,0,16,24,118336,0x7fd2d0f1db00,0x7fd2d0e5c680,1492195,1492195,65536,3538944,568867,63714180,477209331871639,477209331813990,477209333368237,477209333411336
94,"void benchmark_func<double, 256, 8u, 18u>(double, double*) [clone .kd]",0,0,281,246664,246664,4194304,256,0,0,16,24,120064,0x7fd2d0f1d980,0x7fd2d0e5c6c0,1490006,1490006,65536,3407872,533305,59788328,477209333424356,477209333368237,477209334920883,477209334934163
95,"void benchmark_func<__half2, 256, 8u, 18u>(__half2, __half2*) [clone .kd]",0,0,284,246664,246664,4194304,256,0,0,12,24,121792,0x7fd2d0f1d800,0x7fd2d0e5c700,1467340,1467340,65536,3407872,572576,64255700,477209334959533,477209334920883,477209336459930,477209336502650
96,"void benchmark_func<int, 256, 8u, 18u>(int, int*) [clone .kd]",0,0,287,246664,246664,4194304,256,0,0,12,24,124032,0x7fd2d0f1d680,0x7fd2d0e5c740,1473954,1473954,65536,4521984,709452,79522592,477209336515209,477209336459930,477209337995297,477209338035757
97,"void benchmark_func<float, 256, 8u, 20u>(float, float*) [clone .kd]",0,0,290,246664,246664,4194304,256,0,0,12,24,125504,0x7fd2d31cd500,0x7fd2d0e5c780,1465804,1465804,65536,3014656,505990,56601744,477209338056596,477209337995297,477209339522344,477209339537284
98,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 20u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,293,246664,246664,4194304,256,0,0,12,24,127488,0x7fd2d31cd380,0x7fd2d0e5c7c0,1512134,1512134,65536,3801088,594065,66456188,477209339567954,477209339522344,477209341097391,477209341145390
99,"void benchmark_func<double, 256, 8u, 20u>(double, double*) [clone .kd]",0,0,296,246664,246664,4194304,256,0,0,12,24,129216,0x7fd2d31cd200,0x7fd2d0e5c800,1519078,1519078,65536,3670016,592570,66406008,477209341157990,477209341097391,477209342668118,477209342712976
100,"void benchmark_func<__half2, 256, 8u, 20u>(__half2, __half2*) [clone .kd]",0,0,299,246664,246664,4194304,256,0,0,12,24,130944,0x7fd2d31cd080,0x7fd2d0e5c840,1453312,1453312,65536,3670016,591009,66093308,477209342725236,477209342668118,477209344194364,477209344239563
101,"void benchmark_func<int, 256, 8u, 20u>(int, int*) [clone .kd]",0,0,302,246664,246664,4194304,256,0,0,12,24,133440,0x7fd2d0f1df00,0x7fd2d0e5c880,1463022,1463022,65536,4915200,793884,89010720,477209344254203,477209344194364,477209345730851,477209345773640
102,"void benchmark_func<float, 256, 8u, 22u>(float, float*) [clone .kd]",0,0,305,246664,246664,4194304,256,0,0,12,24,134912,0x7fd2d0f1dd80,0x7fd2d0e5c8c0,1467869,1467869,65536,3145728,489587,54874616,477209345795000,477209345730851,477209347260138,477209347303297
103,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 22u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,308,246664,246664,4194304,256,0,0,12,24,136896,0x7fd2d0f1dc00,0x7fd2d0e5c900,1517474,1517474,65536,4063232,666417,74690708,477209347316907,477209347260138,477209348830705,477209348874184
104,"void benchmark_func<double, 256, 8u, 22u>(double, double*) [clone .kd]",0,0,311,246664,246664,4194304,256,0,0,12,24,138880,0x7fd2d0f1da80,0x7fd2d0e5c940,1548790,1548790,65536,3932160,621099,69680760,477209348886724,477209348830705,477209350420632,477209350460790
105,"void benchmark_func<__half2, 256, 8u, 22u>(__half2, __half2*) [clone .kd]",0,0,314,246664,246664,4194304,256,0,0,12,24,140864,0x7fd2d0f1d900,0x7fd2d0e5c980,1464190,1464190,65536,3932160,686202,76829824,477209350473710,477209350420632,477209351948478,477209351990397
106,"void benchmark_func<int, 256, 8u, 22u>(int, int*) [clone .kd]",0,0,317,246664,246664,4194304,256,0,0,12,24,143616,0x7fd2d0f1d780,0x7fd2d0e5c9c0,1470128,1470128,65536,5308416,938319,105113380,477209352015327,477209351948478,477209353489445,477209353530274
107,"void benchmark_func<float, 256, 8u, 24u>(float, float*) [clone .kd]",0,0,320,246664,246664,4194304,256,0,0,12,24,145344,0x7fd2d0f1d600,0x7fd2d0e5ca00,1465054,1465054,65536,3342336,608293,68167736,477209353550544,477209353489445,477209355023212,477209355064851
108,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 24u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,323,246664,246664,4194304,256,0,0,12,24,147584,0x7fd2d31cd480,0x7fd2d0e5ca40,1545402,1545402,65536,4325376,715501,80106852,477209355077411,477209355023212,477209356607219,477209356652127
109,"void benchmark_func<double, 256, 8u, 24u>(double, double*) [clone .kd]",0,0,326,246664,246664,4194304,256,0,0,12,24,149568,0x7fd2d31cd300,0x7fd2d0e5ca80,1556854,1556854,65536,4194304,707211,79203360,477209356664967,477209356607219,477209358201306,477209358214573
110,"void benchmark_func<__half2, 256, 8u, 24u>(__half2, __half2*) [clone .kd]",0,0,329,246664,246664,4194304,256,0,0,12,24,151552,0x7fd2d31cd180,0x7fd2d0e5cac0,1471226,1471226,65536,4194304,704227,78990880,477209358242863,477209358201306,477209359747073,477209359789520
111,"void benchmark_func<int, 256, 8u, 24u>(int, int*) [clone .kd]",0,0,332,246664,246664,4194304,256,0,0,12,24,154304,0x7fd2d31cd000,0x7fd2d0e5cb00,1465778,1465778,65536,5701632,970442,108649100,477209359802369,477209359747073,477209361286279,477209361326377
112,"void benchmark_func<float, 256, 8u, 28u>(float, float*) [clone .kd]",0,0,335,246664,246664,4194304,256,0,0,12,24,156288,0x7fd2d0f1de80,0x7fd2d0e5cb40,1457305,1457305,65536,3735552,603630,67619804,477209361348096,477209361286279,477209362814606,477209362855004
113,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 28u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,338,246664,246664,4194304,256,0,0,12,24,158784,0x7fd2d0f1dd00,0x7fd2d0e5cb80,1631601,1631601,65536,4849664,811061,90817348,477209362868283,477209362814606,477209364446773,477209364491458
114,"void benchmark_func<double, 256, 8u, 28u>(double, double*) [clone .kd]",0,0,341,246664,246664,4194304,256,0,0,12,24,161024,0x7fd2d0f1db80,0x7fd2d0e5cbc0,1601152,1601152,65536,4718592,753250,84303308,477209364504338,477209364446773,477209366064540,477209366107084
115,"void benchmark_func<__half2, 256, 8u, 28u>(__half2, __half2*) [clone .kd]",0,0,344,246664,246664,4194304,256,0,0,12,24,163264,0x7fd2d0f1da00,0x7fd2d0e5cc00,1465918,1465918,65536,4718592,781279,87541100,477209366120363,477209366064540,477209367602947,477209367642761
116,"void benchmark_func<int, 256, 8u, 28u>(int, int*) [clone .kd]",0,0,347,246664,246664,4194304,256,0,0,12,24,166528,0x7fd2d0f1d880,0x7fd2d0e5cc40,1490608,1490608,65536,6488064,1101183,123287060,477209367655860,477209367602947,477209369150314,477209369193558
117,"void benchmark_func<float, 256, 8u, 32u>(float, float*) [clone .kd]",0,0,350,246664,246664,4194304,256,0,0,12,24,168512,0x7fd2d0f1d700,0x7fd2d0e5cc80,1461994,1461994,65536,4128768,713403,79936560,477209369215517,477209369150314,477209370685521,477209370698275
118,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 32u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,353,246664,246664,4194304,256,0,0,12,24,171264,0x7fd2d31cd580,0x7fd2d0e5ccc0,1645288,1645288,65536,5373952,847123,94835200,477209370726645,477209370685521,477209372339448,477209372383189
119,"void benchmark_func<double, 256, 8u, 32u>(double, double*) [clone .kd]",0,0,356,246664,246664,4194304,256,0,0,12,24,173760,0x7fd2d31cd400,0x7fd2d0e5cd00,1693000,1693000,65536,5242880,855295,95844356,477209372396449,477209372339448,477209374017535,477209374060623
120,"void benchmark_func<__half2, 256, 8u, 32u>(__half2, __half2*) [clone .kd]",0,0,359,246664,246664,4194304,256,0,0,12,24,176256,0x7fd2d31cd280,0x7fd2d0e5cd40,1471148,1471148,65536,5242880,882630,99015892,477209374073013,477209374017535,477209375555622,477209375598120
121,"void benchmark_func<int, 256, 8u, 32u>(int, int*) [clone .kd]",0,0,362,246664,246664,4194304,256,0,0,12,24,179776,0x7fd2d31cd100,0x7fd2d0e5cd80,1509826,1509826,65536,7274496,1223721,137065672,477209375611400,477209375555581,477209377117507,477209377166267
122,"void benchmark_func<float, 256, 8u, 40u>(float, float*) [clone .kd]",0,0,365,246664,246664,4194304,256,0,0,12,24,182272,0x7fd2d0f1df80,0x7fd2d0e5cdc0,1474510,1474510,65536,4915200,859433,96197576,477209377187446,477209377117507,477209378659113,477209378701953
123,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 40u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,368,246664,246664,4194304,256,0,0,12,24,185536,0x7fd2d0f1de00,0x7fd2d0e5ce00,1703786,1703786,65536,6422528,1039491,116384616,477209378714763,477209378659113,477209380344880,477209380387877
124,"void benchmark_func<double, 256, 8u, 40u>(double, double*) [clone .kd]",0,0,371,246664,246664,4194304,256,0,0,12,24,188544,0x7fd2d0f1dc80,0x7fd2d0e5ce40,1677172,1677172,65536,6291456,998680,111809112,477209380400807,477209380344880,477209382008088,477209382050661
125,"void benchmark_func<__half2, 256, 8u, 40u>(__half2, __half2*) [clone .kd]",0,0,374,246664,246664,4194304,256,0,0,12,24,191552,0x7fd2d0f1db00,0x7fd2d0e5ce80,1469156,1469156,65536,6291456,1034276,115904396,477209382062921,477209382008088,477209383547774,477209383587998
126,"void benchmark_func<int, 256, 8u, 40u>(int, int*) [clone .kd]",0,0,377,246664,246664,4194304,256,0,0,12,24,195840,0x7fd2d0f1d980,0x7fd2d0e5cec0,1597905,1597905,65536,8847360,1541203,172580688,477209383601158,477209383547774,477209385171141,477209385213443
127,"void benchmark_func<float, 256, 8u, 48u>(float, float*) [clone .kd]",0,0,380,246664,246664,4194304,256,0,0,12,24,198592,0x7fd2d0f1d800,0x7fd2d0e5cf00,1489037,1489037,65536,5701632,1023716,114628596,477209385236203,477209385171141,477209386716108,477209386761860
128,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 48u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,383,246664,246664,4194304,256,0,0,12,24,202368,0x7fd2d0f1d680,0x7fd2d0e5cf40,1735421,1735421,65536,7471104,1259185,140991932,477209386775070,477209386716108,477209388422835,477209388465754
129,"void benchmark_func<double, 256, 8u, 48u>(double, double*) [clone .kd]",0,0,386,246664,246664,4194304,256,0,0,12,24,205888,0x7fd2d31cd500,0x7fd2d0e5cf80,1717996,1717996,65536,7340032,1199953,134496680,477209388479043,477209388422835,477209390121563,477209390164087
130,"void benchmark_func<__half2, 256, 8u, 48u>(__half2, __half2*) [clone .kd]",0,0,389,246664,246664,4194304,256,0,0,12,24,209408,0x7fd2d31cd380,0x7fd2d0e5cfc0,1474663,1474663,65536,7340032,1326621,148554796,477209390176237,477209390121563,477209391660929,477209391705414
131,"void benchmark_func<int, 256, 8u, 48u>(int, int*) [clone .kd]",0,0,392,246664,246664,4194304,256,0,0,12,24,214464,0x7fd2d31cd200,0x7fd2d0e5d000,1622619,1622619,65536,10420224,1778485,199280308,477209391718854,477209391660929,477209393303496,477209393346359
132,"void benchmark_func<float, 256, 8u, 56u>(float, float*) [clone .kd]",0,0,395,246664,246664,4194304,256,0,0,12,24,217728,0x7fd2d31cd080,0x7fd2d0e5d040,1498326,1498326,65536,6488064,1097993,123042024,477209393367309,477209393303496,477209394863663,477209394902766
133,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 56u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,398,246664,246664,4194304,256,0,0,12,24,222016,0x7fd2d0f1df00,0x7fd2d0e5d080,1769471,1769471,65536,8519680,1353561,151528596,477209394916005,477209394863663,477209396587991,477209396634819
134,"void benchmark_func<double, 256, 8u, 56u>(double, double*) [clone .kd]",0,0,401,246664,246664,4194304,256,0,0,12,24,226048,0x7fd2d0f1dd80,0x7fd2d0e5d0c0,1734313,1734313,65536,8388608,1320139,147867740,477209396647448,477209396587991,477209398297598,477209398340502
135,"void benchmark_func<__half2, 256, 8u, 56u>(__half2, __half2*) [clone .kd]",0,0,404,246664,246664,4194304,256,0,0,12,24,230080,0x7fd2d0f1dc00,0x7fd2d0e5d100,1480905,1480905,65536,8388608,1477275,165514720,477209398353662,477209398297598,477209399847525,477209399890148
136,"void benchmark_func<int, 256, 8u, 56u>(int, int*) [clone .kd]",0,0,407,246664,246664,4194304,256,0,0,12,24,235904,0x7fd2d0f1da80,0x7fd2d0e5d140,1731344,1731344,65536,11993088,2092320,234283816,477209399903358,477209399847525,477209401550092,477209401593532
137,"void benchmark_func<float, 256, 8u, 64u>(float, float*) [clone .kd]",0,0,410,246664,246664,4194304,256,0,0,12,24,239424,0x7fd2d0f1d900,0x7fd2d0e5d180,1497833,1497833,65536,7274496,1334501,149472312,477209401614301,477209401550092,477209403109779,477209403151308
138,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 64u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,413,246664,246664,4194304,256,0,0,12,24,244224,0x7fd2d0f1d780,0x7fd2d0e5d1c0,1774906,1774906,65536,9568256,1549450,173463120,477209403164458,477209403109779,477209404846107,477209404889881
139,"void benchmark_func<double, 256, 8u, 64u>(double, double*) [clone .kd]",0,0,416,246664,246664,4194304,256,0,0,12,24,248768,0x7fd2d0f1d600,0x7fd2d0e5d200,1767334,1767334,65536,9437184,1532459,171751208,477209404902221,477209404846107,477209406571394,477209406616434
140,"void benchmark_func<__half2, 256, 8u, 64u>(__half2, __half2*) [clone .kd]",0,0,419,246664,246664,4194304,256,0,0,12,24,253312,0x7fd2d31cd480,0x7fd2d0e5d240,1495738,1495738,65536,9437184,1663735,186436156,477209406628614,477209406571394,477209408131081,477209408173541
141,"void benchmark_func<int, 256, 8u, 64u>(int, int*) [clone .kd]",0,0,422,246664,246664,4194304,256,0,0,8,24,255552,0x7fd2d31cd300,0x7fd2d0e5d280,3995423,3995423,65536,16056320,2315072,259125036,477209408186451,477209408131081,477209411197494,477209411236295
142,"void benchmark_func<float, 256, 8u, 80u>(float, float*) [clone .kd]",0,0,425,246664,246664,4194304,256,0,0,12,24,259840,0x7fd2d31cd180,0x7fd2d0e5d2c0,1514174,1514174,65536,8847360,1554890,174165268,477209411257095,477209411197494,477209412763101,477209412811471
143,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 80u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,428,246664,246664,4194304,256,0,0,12,24,265664,0x7fd2d31cd000,0x7fd2d0e5d300,1775007,1775007,65536,11665408,1885158,211221828,477209412824241,477209412763101,477209414504228,477209414547174
144,"void benchmark_func<double, 256, 8u, 80u>(double, double*) [clone .kd]",0,0,431,246664,246664,4194304,256,0,0,12,24,271232,0x7fd2d0f1de80,0x7fd2d0e5d340,1800649,1800649,65536,11468800,1857301,207864900,477209414559144,477209414504228,477209416255116,477209416297826
145,"void benchmark_func<__half2, 256, 8u, 80u>(__half2, __half2*) [clone .kd]",0,0,434,246664,246664,4194304,256,0,0,8,24,273216,0x7fd2d0f1dd00,0x7fd2d0e5d380,3948603,3948603,65536,14090240,2032149,227406240,477209416310646,477209416255116,477209419274329,477209419316961
146,"void benchmark_func<int, 256, 8u, 80u>(int, int*) [clone .kd]",0,0,437,246664,246664,4194304,256,0,0,8,24,275712,0x7fd2d0f1db80,0x7fd2d0e5d3c0,3805328,3805328,65536,19202048,2787793,312319728,477209419329261,477209419274329,477209422238502,477209422281658
147,"void benchmark_func<float, 256, 8u, 96u>(float, float*) [clone .kd]",0,0,440,246664,246664,4194304,256,0,0,12,24,280768,0x7fd2d0f1da00,0x7fd2d0e5d400,1531444,1531444,65536,10420224,1698107,190342324,477209422302207,477209422238502,477209423826509,477209423869023
148,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 96u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,443,246664,246664,4194304,256,0,0,12,24,287616,0x7fd2d0f1d880,0x7fd2d0e5d440,1842372,1842372,65536,13762560,2128172,238359024,477209423880873,477209423826509,477209425609237,477209425655205
149,"void benchmark_func<double, 256, 8u, 96u>(double, double*) [clone .kd]",0,0,446,246664,246664,4194304,256,0,0,12,24,294208,0x7fd2d0f1d700,0x7fd2d0e5d480,1848220,1848220,65536,13565952,2350635,263487416,477209425667255,477209425609237,477209427397244,477209427437437
150,"void benchmark_func<__half2, 256, 8u, 96u>(__half2, __half2*) [clone .kd]",0,0,449,246664,246664,4194304,256,0,0,8,24,296960,0x7fd2d31cd580,0x7fd2d0e5d4c0,5102832,5102832,65536,15466496,2228241,249649968,477209427449047,477209427397244,477209431117260,477209431157937
151,"void benchmark_func<int, 256, 8u, 96u>(int, int*) [clone .kd]",0,0,452,246664,246664,4194304,256,0,0,8,24,299968,0x7fd2d31cd400,0x7fd2d0e5d500,5110771,5110771,65536,22347776,3249017,364185732,477209431169977,477209431117260,477209434860477,477209434907667
152,"void benchmark_func<float, 256, 8u, 128u>(float, float*) [clone .kd]",0,0,455,246664,246664,4194304,256,0,0,8,24,302720,0x7fd2d31cd280,0x7fd2d0e5d540,5214057,5214057,65536,20250624,2926380,327724112,477209434927546,477209434860477,477209438648653,477209438692135
153,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 128u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,458,246664,246664,4194304,256,0,0,12,24,305472,0x7fd2d31cd100,0x7fd2d0e5d580,3939765,3939765,65536,20447232,2944517,329706060,477209438704825,477209438648667,477209441692040,477209441738070
154,"void benchmark_func<double, 256, 8u, 128u>(double, double*) [clone .kd]",0,0,461,246664,246664,4194304,256,0,0,12,24,308224,0x7fd2d0f1df80,0x7fd2d0e5d5c0,4003319,4003319,65536,19595264,2853408,319724424,477209441750320,477209441692040,477209444766933,477209444812834
155,"void benchmark_func<__half2, 256, 8u, 128u>(__half2, __half2*) [clone .kd]",0,0,464,246664,246664,4194304,256,0,0,8,24,310976,0x7fd2d0f1de00,0x7fd2d0e5d600,5060672,5060672,65536,20381696,2939204,329081948,477209444825484,477209444766933,477209448465029,477209448510725
156,"void benchmark_func<int, 256, 8u, 128u>(int, int*) [clone .kd]",0,0,467,246664,246664,4194304,256,0,0,8,24,313216,0x7fd2d0f1dc80,0x7fd2d0e5d640,3961135,3961135,65536,31522816,4526323,506688548,477209448523045,477209448465029,477209451543922,477209451588879
157,"void benchmark_func<float, 256, 8u, 256u>(float, float*) [clone .kd]",0,0,470,246664,246664,4194304,256,0,0,8,24,315968,0x7fd2d0f1db00,0x7fd2d0e5d680,3809862,3809862,65536,38993920,5605086,627991488,477209451609118,477209451543922,477209454510975,477209454554585
158,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 256u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,473,246664,246664,4194304,256,0,0,12,24,318720,0x7fd2d0f1d980,0x7fd2d0e5d6c0,3726807,3726807,65536,39124992,5613192,628604324,477209454567175,477209454510975,477209457463468,477209457506651
159,"void benchmark_func<double, 256, 8u, 256u>(double, double*) [clone .kd]",0,0,476,246664,246664,4194304,256,0,0,12,24,321472,0x7fd2d0f1d800,0x7fd2d0e5d700,3748023,3748023,65536,38469632,5518186,617895956,477209457518381,477209457463468,477209460425721,477209460472138
160,"void benchmark_func<__half2, 256, 8u, 256u>(__half2, __half2*) [clone .kd]",0,0,479,246664,246664,4194304,256,0,0,8,24,324224,0x7fd2d0f1d680,0x7fd2d0e5d740,3810015,3810015,65536,39059456,5606436,628154316,477209460484387,477209460425721,477209463392614,477209463439014
161,"void benchmark_func<int, 256, 8u, 256u>(int, int*) [clone .kd]",0,0,482,246664,246664,4194304,256,0,0,8,24,326464,0x7fd2d31cd500,0x7fd2d0e5d780,5521071,5521071,65536,60489728,8664433,970552384,477209463450354,477209463392614,477209467462552,477209467503427
162,"void benchmark_func<float, 256, 8u, 512u>(float, float*) [clone .kd]",0,0,485,246664,246664,4194304,256,0,0,8,24,329216,0x7fd2d31cd380,0x7fd2d0e5d7c0,5539661,5539661,65536,77266944,11062729,1239206300,477209467524397,477209467462552,477209471505769,477209471549030
163,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 512u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,488,246664,246664,4194304,256,0,0,12,24,331968,0x7fd2d31cd200,0x7fd2d0e5d800,5555162,5555162,65536,77398016,11082135,1241160136,477209471561120,477209471505769,477209475611707,477209475657572
164,"void benchmark_func<double, 256, 8u, 512u>(double, double*) [clone .kd]",0,0,491,246664,246664,4194304,256,0,0,12,24,334720,0x7fd2d31cd080,0x7fd2d0e5d840,5545789,5545789,65536,76218368,10908401,1221877760,477209475670181,477209475611707,477209479710605,477209479753824
165,"void benchmark_func<__half2, 256, 8u, 512u>(__half2, __half2*) [clone .kd]",0,0,494,246664,246664,4194304,256,0,0,8,24,337472,0x7fd2d0f1df00,0x7fd2d0e5d880,5547014,5547014,65536,77332480,11078535,1240374472,477209479766673,477209479710605,477209483764702,477209483804347
166,"void benchmark_func<int, 256, 8u, 512u>(int, int*) [clone .kd]",0,0,497,246664,246664,4194304,256,0,0,8,24,0,0x7fd2d0f1dd80,0x7fd2d0e5d8c0,9545152,9545152,65536,120258560,17208340,1927594572,477209483816286,477209483764702,477209490347611,477209490396645
