Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,246483,246483,4194304,256,0,0,12,24,101312,0x7f6958087a00,0x7f685799c400,131072,148674,16653176,477208154859340,477208154779198,477208156333765,477208156399367
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,246483,246483,4194304,256,0,0,12,24,102784,0x7f6958087880,0x7f685799c440,65536,132472,14844632,477208156412897,477208156333765,477208157894091,477208157959194
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,246483,246483,4194304,256,0,0,12,24,104256,0x7f6958087700,0x7f685799c480,131072,153156,16987376,477208157972024,477208157894091,477208159407537,477208159470691
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,246483,246483,4194304,256,0,0,12,24,106240,0x7f695a32c580,0x7f685799c4c0,131072,151802,17000952,477208159483491,477208159407537,477208160936983,477208161006428
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,246483,246483,4194304,256,0,0,12,24,107712,0x7f695a32c400,0x7f685799c500,131072,152682,16928184,477208161029148,477208160936983,477208162453470,477208162517936
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,246483,246483,4194304,256,0,0,16,24,109440,0x7f695a32c280,0x7f685799c540,131072,173670,19494840,477208162531106,477208162453470,477208163988996,477208164040443
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,246483,246483,4194304,256,0,0,16,24,111168,0x7f695a32c100,0x7f685799c580,65536,132880,15024528,477208164053733,477208163988996,477208165545322,477208165609379
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,246483,246483,4194304,256,0,0,8,24,112896,0x7f6958087f80,0x7f685799c5c0,131072,164760,18614592,477208165621959,477208165545322,477208167063088,477208167127587
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,246483,246483,4194304,256,0,0,12,24,115136,0x7f6958087e00,0x7f685799c600,131072,170704,19177560,477208167140716,477208167063088,477208168597495,477208168664954
92,"void benchmark_func<float, 256, 8u, 18u>(float, float*) [clone .kd]",0,0,275,246483,246483,4194304,256,0,0,12,24,116608,0x7f6958087c80,0x7f685799c640,131072,171652,19071248,477208168686443,477208168597495,477208170122621,477208170185501
93,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 18u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,278,246483,246483,4194304,256,0,0,16,24,118336,0x7f6958087b00,0x7f685799c680,131072,170424,18916568,477208170197891,477208170122621,477208171662467,477208171725298
94,"void benchmark_func<double, 256, 8u, 18u>(double, double*) [clone .kd]",0,0,281,246483,246483,4194304,256,0,0,16,24,120064,0x7f6958087980,0x7f685799c6c0,65536,149666,16894320,477208171738558,477208171662467,477208173217513,477208173282335
95,"void benchmark_func<__half2, 256, 8u, 18u>(__half2, __half2*) [clone .kd]",0,0,284,246483,246483,4194304,256,0,0,12,24,121792,0x7f6958087800,0x7f685799c700,131072,167776,18842008,477208173295715,477208173217513,477208174737999,477208174802682
96,"void benchmark_func<int, 256, 8u, 18u>(int, int*) [clone .kd]",0,0,287,246483,246483,4194304,256,0,0,12,24,124032,0x7f6958087680,0x7f685799c740,131072,173986,19410192,477208174816012,477208174737999,477208176270006,477208176336749
97,"void benchmark_func<float, 256, 8u, 20u>(float, float*) [clone .kd]",0,0,290,246483,246483,4194304,256,0,0,12,24,125504,0x7f695a32c500,0x7f685799c780,131072,170704,19085288,477208176359159,477208176270006,477208177787292,477208177856657
98,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 20u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,293,246483,246483,4194304,256,0,0,12,24,127488,0x7f695a32c380,0x7f685799c7c0,131072,169180,19048432,477208177869316,477208177787292,477208179353698,477208179418193
99,"void benchmark_func<double, 256, 8u, 20u>(double, double*) [clone .kd]",0,0,296,246483,246483,4194304,256,0,0,12,24,129216,0x7f695a32c200,0x7f685799c800,65536,131330,14516568,477208179431703,477208179353698,477208180924745,477208180989569
100,"void benchmark_func<__half2, 256, 8u, 20u>(__half2, __half2*) [clone .kd]",0,0,299,246483,246483,4194304,256,0,0,12,24,130944,0x7f695a32c080,0x7f685799c840,131072,148764,16772960,477208181004049,477208180924745,477208182446831,477208182511086
101,"void benchmark_func<int, 256, 8u, 20u>(int, int*) [clone .kd]",0,0,302,246483,246483,4194304,256,0,0,12,24,133440,0x7f6958087f00,0x7f685799c880,131072,152608,17051792,477208182525266,477208182446831,477208183975317,477208184040614
102,"void benchmark_func<float, 256, 8u, 22u>(float, float*) [clone .kd]",0,0,305,246483,246483,4194304,256,0,0,12,24,134912,0x7f6958087d80,0x7f685799c8c0,131072,232278,25976768,477208184062803,477208183975317,477208185504923,477208185569101
103,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 22u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,308,246483,246483,4194304,256,0,0,12,24,136896,0x7f6958087c00,0x7f685799c900,131072,150122,16819504,477208185582200,477208185504923,477208187078690,477208187143247
104,"void benchmark_func<double, 256, 8u, 22u>(double, double*) [clone .kd]",0,0,311,246483,246483,4194304,256,0,0,12,24,138880,0x7f6958087a80,0x7f685799c940,65536,135946,15089128,477208187157537,477208187078690,477208188664616,477208188732233
105,"void benchmark_func<__half2, 256, 8u, 22u>(__half2, __half2*) [clone .kd]",0,0,314,246483,246483,4194304,256,0,0,12,24,140864,0x7f6958087900,0x7f685799c980,131072,172556,19286608,477208188746403,477208188664616,477208190187822,477208190253990
106,"void benchmark_func<int, 256, 8u, 22u>(int, int*) [clone .kd]",0,0,317,246483,246483,4194304,256,0,0,12,24,143616,0x7f6958087780,0x7f685799c9c0,131072,168794,18955512,477208190268100,477208190187822,477208191720789,477208191784438
107,"void benchmark_func<float, 256, 8u, 24u>(float, float*) [clone .kd]",0,0,320,246483,246483,4194304,256,0,0,12,24,145344,0x7f6958087600,0x7f685799ca00,131072,232976,26070224,477208191805807,477208191720789,477208193240635,477208193304365
108,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 24u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,323,246483,246483,4194304,256,0,0,12,24,147584,0x7f695a32c480,0x7f685799ca40,131072,173704,19434424,477208193318045,477208193240635,477208194822241,477208194889131
109,"void benchmark_func<double, 256, 8u, 24u>(double, double*) [clone .kd]",0,0,326,246483,246483,4194304,256,0,0,12,24,149568,0x7f695a32c300,0x7f685799ca80,65536,132470,14851144,477208194903431,477208194822241,477208196433448,477208196498796
110,"void benchmark_func<__half2, 256, 8u, 24u>(__half2, __half2*) [clone .kd]",0,0,329,246483,246483,4194304,256,0,0,12,24,151552,0x7f695a32c180,0x7f685799cac0,131072,183632,20444624,477208196512336,477208196433448,477208197959054,477208198025574
111,"void benchmark_func<int, 256, 8u, 24u>(int, int*) [clone .kd]",0,0,332,246483,246483,4194304,256,0,0,12,24,154304,0x7f695a32c000,0x7f685799cb00,131072,145668,16456936,477208198038803,477208197959054,477208199497300,477208199562650
112,"void benchmark_func<float, 256, 8u, 28u>(float, float*) [clone .kd]",0,0,335,246483,246483,4194304,256,0,0,12,24,156288,0x7f6958087e80,0x7f685799cb40,131072,214972,24209104,477208199583690,477208199497300,477208201014106,477208201079598
113,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 28u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,338,246483,246483,4194304,256,0,0,12,24,158784,0x7f6958087d00,0x7f685799cb80,131072,168058,18822136,477208201093728,477208201014106,477208202670913,477208202735472
114,"void benchmark_func<double, 256, 8u, 28u>(double, double*) [clone .kd]",0,0,341,246483,246483,4194304,256,0,0,12,24,161024,0x7f6958087b80,0x7f685799cbc0,65536,130140,14683240,477208202749802,477208202670913,477208204299880,477208204365657
115,"void benchmark_func<__half2, 256, 8u, 28u>(__half2, __half2*) [clone .kd]",0,0,344,246483,246483,4194304,256,0,0,12,24,163264,0x7f6958087a00,0x7f685799cc00,131072,149776,16913808,477208204379347,477208204299880,477208205830126,477208205897375
116,"void benchmark_func<int, 256, 8u, 28u>(int, int*) [clone .kd]",0,0,347,246483,246483,4194304,256,0,0,12,24,166528,0x7f6958087880,0x7f685799cc40,131072,148844,16730864,477208205912444,477208205830126,477208207363572,477208207427952
117,"void benchmark_func<float, 256, 8u, 32u>(float, float*) [clone .kd]",0,0,350,246483,246483,4194304,256,0,0,12,24,168512,0x7f6958087700,0x7f685799cc80,131072,232804,26072656,477208207450441,477208207363572,477208208889658,477208208952449
118,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 32u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,353,246483,246483,4194304,256,0,0,12,24,171264,0x7f695a32c580,0x7f685799ccc0,131072,182018,20331096,477208208965829,477208208889658,477208210522625,477208210586344
119,"void benchmark_func<double, 256, 8u, 32u>(double, double*) [clone .kd]",0,0,356,246483,246483,4194304,256,0,0,12,24,173760,0x7f695a32c400,0x7f685799cd00,65536,133364,14983904,477208210601374,477208210522625,477208212178152,477208212243098
120,"void benchmark_func<__half2, 256, 8u, 32u>(__half2, __half2*) [clone .kd]",0,0,359,246483,246483,4194304,256,0,0,12,24,176256,0x7f695a32c280,0x7f685799cd40,131072,189266,21224272,477208212257078,477208212178152,477208213715278,477208213779195
121,"void benchmark_func<int, 256, 8u, 32u>(int, int*) [clone .kd]",0,0,362,246483,246483,4194304,256,0,0,12,24,179776,0x7f695a32c100,0x7f685799cd80,131072,149714,16776296,477208213793565,477208213715278,477208215273204,477208215338732
122,"void benchmark_func<float, 256, 8u, 40u>(float, float*) [clone .kd]",0,0,365,246483,246483,4194304,256,0,0,12,24,182272,0x7f6958087f80,0x7f685799cdc0,131072,218230,24116960,477208215361911,477208215273186,477208216806311,477208216875289
123,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 40u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,368,246483,246483,4194304,256,0,0,12,24,185536,0x7f6958087e00,0x7f685799ce00,131072,170042,19067536,477208216889039,477208216806311,477208218481678,477208218546933
124,"void benchmark_func<double, 256, 8u, 40u>(double, double*) [clone .kd]",0,0,371,246483,246483,4194304,256,0,0,12,24,188544,0x7f6958087c80,0x7f685799ce40,65536,134080,14967360,477208218560283,477208218481678,477208220144564,477208220213217
125,"void benchmark_func<__half2, 256, 8u, 40u>(__half2, __half2*) [clone .kd]",0,0,374,246483,246483,4194304,256,0,0,12,24,191552,0x7f6958087b00,0x7f685799ce80,131072,154270,17229416,477208220227027,477208220144564,477208221672251,477208221735024
126,"void benchmark_func<int, 256, 8u, 40u>(int, int*) [clone .kd]",0,0,377,246483,246483,4194304,256,0,0,12,24,195840,0x7f6958087980,0x7f685799cec0,131072,154418,17249016,477208221748394,477208221672251,477208223287777,477208223350000
127,"void benchmark_func<float, 256, 8u, 48u>(float, float*) [clone .kd]",0,0,380,246483,246483,4194304,256,0,0,12,24,198592,0x7f6958087800,0x7f685799cf00,131072,231434,25921512,477208223372909,477208223287777,477208224833543,477208224902196
128,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 48u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,383,246483,246483,4194304,256,0,0,12,24,202368,0x7f6958087680,0x7f685799cf40,131072,216306,24302648,477208224915346,477208224833543,477208226534190,477208226598360
129,"void benchmark_func<double, 256, 8u, 48u>(double, double*) [clone .kd]",0,0,386,246483,246483,4194304,256,0,0,12,24,205888,0x7f695a32c500,0x7f685799cf80,65536,130216,14576968,477208226612570,477208226534190,477208228222997,477208228292504
130,"void benchmark_func<__half2, 256, 8u, 48u>(__half2, __half2*) [clone .kd]",0,0,389,246483,246483,4194304,256,0,0,12,24,209408,0x7f695a32c380,0x7f685799cfc0,131072,148304,16494432,477208228306204,477208228222997,477208229758363,477208229821091
131,"void benchmark_func<int, 256, 8u, 48u>(int, int*) [clone .kd]",0,0,392,246483,246483,4194304,256,0,0,12,24,214464,0x7f695a32c200,0x7f685799d000,131072,149900,16827800,477208229834621,477208229758363,477208231396930,477208231459726
132,"void benchmark_func<float, 256, 8u, 56u>(float, float*) [clone .kd]",0,0,395,246483,246483,4194304,256,0,0,12,24,217728,0x7f695a32c080,0x7f685799d040,131072,233936,26201264,477208231480725,477208231396930,477208232947656,477208233015392
133,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 56u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,398,246483,246483,4194304,256,0,0,12,24,222016,0x7f6958087f00,0x7f685799d080,131072,241354,27090512,477208233028902,477208232947656,477208234655183,477208234723186
134,"void benchmark_func<double, 256, 8u, 56u>(double, double*) [clone .kd]",0,0,401,246483,246483,4194304,256,0,0,12,24,226048,0x7f6958087d80,0x7f685799d0c0,65536,133714,14883952,477208234736645,477208234655183,477208236367030,477208236435519
135,"void benchmark_func<__half2, 256, 8u, 56u>(__half2, __half2*) [clone .kd]",0,0,404,246483,246483,4194304,256,0,0,12,24,230080,0x7f6958087c00,0x7f685799d100,131072,150468,16891576,477208236448959,477208236367030,477208237909436,477208237976806
136,"void benchmark_func<int, 256, 8u, 56u>(int, int*) [clone .kd]",0,0,407,246483,246483,4194304,256,0,0,12,24,235904,0x7f6958087a80,0x7f685799d140,131072,158216,17758144,477208237990445,477208237909436,477208239609283,477208239678279
137,"void benchmark_func<float, 256, 8u, 64u>(float, float*) [clone .kd]",0,0,410,246483,246483,4194304,256,0,0,12,24,239424,0x7f6958087900,0x7f685799d180,131072,237922,26649640,477208239699409,477208239609283,477208241163849,477208241228586
138,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 64u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,413,246483,246483,4194304,256,0,0,12,24,244224,0x7f6958087780,0x7f685799d1c0,131072,213210,23775240,477208241241776,477208241163849,477208242885776,477208242949859
139,"void benchmark_func<double, 256, 8u, 64u>(double, double*) [clone .kd]",0,0,416,246483,246483,4194304,256,0,0,12,24,248768,0x7f6958087600,0x7f685799d200,65536,132402,14907488,477208242963859,477208242885776,477208244601303,477208244667852
140,"void benchmark_func<__half2, 256, 8u, 64u>(__half2, __half2*) [clone .kd]",0,0,419,246483,246483,4194304,256,0,0,12,24,253312,0x7f695a32c480,0x7f685799d240,131072,149224,16696912,477208244680872,477208244601303,477208246155869,477208246226459
141,"void benchmark_func<int, 256, 8u, 64u>(int, int*) [clone .kd]",0,0,422,246483,246483,4194304,256,0,0,8,24,255552,0x7f695a32c300,0x7f685799d280,131072,329794,36993184,477208246240069,477208246155869,477208249127721,477208249195765
142,"void benchmark_func<float, 256, 8u, 80u>(float, float*) [clone .kd]",0,0,425,246483,246483,4194304,256,0,0,12,24,259840,0x7f695a32c180,0x7f685799d2c0,131072,230666,25863240,477208249217705,477208249127721,477208250689488,477208250751922
143,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 80u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,428,246483,246483,4194304,256,0,0,12,24,265664,0x7f695a32c000,0x7f685799d300,131072,218056,24439144,477208250765271,477208250689488,477208252418135,477208252485674
144,"void benchmark_func<double, 256, 8u, 80u>(double, double*) [clone .kd]",0,0,431,246483,246483,4194304,256,0,0,12,24,271232,0x7f6958087e80,0x7f685799d340,65536,135784,15198936,477208252500014,477208252418135,477208254165662,477208254233587
145,"void benchmark_func<__half2, 256, 8u, 80u>(__half2, __half2*) [clone .kd]",0,0,434,246483,246483,4194304,256,0,0,8,24,273216,0x7f6958087d00,0x7f685799d380,131072,295524,33258088,477208254247286,477208254165662,477208257052073,477208257118615
146,"void benchmark_func<int, 256, 8u, 80u>(int, int*) [clone .kd]",0,0,437,246483,246483,4194304,256,0,0,8,24,275712,0x7f6958087b80,0x7f685799d3c0,131072,309352,34494344,477208257132174,477208257052073,477208259998325,477208260058871
147,"void benchmark_func<float, 256, 8u, 96u>(float, float*) [clone .kd]",0,0,440,246483,246483,4194304,256,0,0,12,24,280768,0x7f6958087a00,0x7f685799d400,131072,261312,29408600,477208260081081,477208259998325,477208261580892,477208261644088
148,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 96u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,443,246483,246483,4194304,256,0,0,12,24,287616,0x7f6958087880,0x7f685799d440,131072,275048,30708904,477208261656577,477208261580892,477208263341859,477208263404830
149,"void benchmark_func<double, 256, 8u, 96u>(double, double*) [clone .kd]",0,0,446,246483,246483,4194304,256,0,0,12,24,294208,0x7f6958087700,0x7f685799d480,65536,132504,14789128,477208263418690,477208263341859,477208265115466,477208265181362
150,"void benchmark_func<__half2, 256, 8u, 96u>(__half2, __half2*) [clone .kd]",0,0,449,246483,246483,4194304,256,0,0,8,24,296960,0x7f695a32c580,0x7f685799d4c0,131072,303778,33934496,477208265194382,477208265115466,477208268772121,477208268842073
151,"void benchmark_func<int, 256, 8u, 96u>(int, int*) [clone .kd]",0,0,452,246483,246483,4194304,256,0,0,8,24,299968,0x7f695a32c400,0x7f685799d500,131072,372400,41822216,477208268857383,477208268772121,477208272456936,477208272526874
152,"void benchmark_func<float, 256, 8u, 128u>(float, float*) [clone .kd]",0,0,455,246483,246483,4194304,256,0,0,8,24,302720,0x7f695a32c280,0x7f685799d540,131072,422216,47206144,477208272548534,477208272456936,477208276165910,477208276235954
153,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 128u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,458,246483,246483,4194304,256,0,0,12,24,305472,0x7f695a32c100,0x7f685799d580,131072,361064,40608144,477208276249674,477208276165970,477208279843745,477208279917355
154,"void benchmark_func<double, 256, 8u, 128u>(double, double*) [clone .kd]",0,0,461,246483,246483,4194304,256,0,0,12,24,308224,0x7f6958087f80,0x7f685799d5c0,65536,171780,19196928,477208279930455,477208279843745,477208282884877,477208282956250
155,"void benchmark_func<__half2, 256, 8u, 128u>(__half2, __half2*) [clone .kd]",0,0,464,246483,246483,4194304,256,0,0,8,24,310976,0x7f6958087e00,0x7f685799d600,131072,317340,35369024,477208282970300,477208282884877,477208285878329,477208285951356
156,"void benchmark_func<int, 256, 8u, 128u>(int, int*) [clone .kd]",0,0,467,246483,246483,4194304,256,0,0,8,24,313216,0x7f6958087c80,0x7f685799d640,131072,316308,35568064,477208285965796,477208285878329,477208288950662,477208289029120
157,"void benchmark_func<float, 256, 8u, 256u>(float, float*) [clone .kd]",0,0,470,246483,246483,4194304,256,0,0,8,24,315968,0x7f6958087b00,0x7f685799d680,131072,309652,34891568,477208289051069,477208288950662,477208291904594,477208291970836
158,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 256u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,473,246483,246483,4194304,256,0,0,12,24,318720,0x7f6958087980,0x7f685799d6c0,131072,299848,33292688,477208291984436,477208291904594,477208294856126,477208294926793
159,"void benchmark_func<double, 256, 8u, 256u>(double, double*) [clone .kd]",0,0,476,246483,246483,4194304,256,0,0,12,24,321472,0x7f6958087800,0x7f685799d700,65536,167094,18660528,477208294940793,477208294856126,477208297808138,477208297882110
160,"void benchmark_func<__half2, 256, 8u, 256u>(__half2, __half2*) [clone .kd]",0,0,479,246483,246483,4194304,256,0,0,8,24,324224,0x7f6958087680,0x7f685799d740,131072,363134,40804240,477208297896339,477208297808138,477208300757430,477208300827457
161,"void benchmark_func<int, 256, 8u, 256u>(int, int*) [clone .kd]",0,0,482,246483,246483,4194304,256,0,0,8,24,326464,0x7f695a32c500,0x7f685799d780,131072,405576,45390224,477208300841796,477208300757430,477208304816967,477208304886239
162,"void benchmark_func<float, 256, 8u, 512u>(float, float*) [clone .kd]",0,0,485,246483,246483,4194304,256,0,0,8,24,329216,0x7f695a32c380,0x7f685799d7c0,131072,428076,47819760,477208304908109,477208304816967,477208308853304,477208308924703
163,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 512u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,488,246483,246483,4194304,256,0,0,12,24,331968,0x7f695a32c200,0x7f685799d800,131072,385766,43173088,477208308938652,477208308853304,477208312957801,477208313029614
164,"void benchmark_func<double, 256, 8u, 512u>(double, double*) [clone .kd]",0,0,491,246483,246483,4194304,256,0,0,12,24,334720,0x7f695a32c080,0x7f685799d840,65536,214328,23893488,477208313043674,477208312957801,477208317057017,477208317129166
165,"void benchmark_func<__half2, 256, 8u, 512u>(__half2, __half2*) [clone .kd]",0,0,494,246483,246483,4194304,256,0,0,8,24,337472,0x7f6958087f00,0x7f685799d880,131072,383004,43012480,477208317143456,477208317057017,477208321100874,477208321173050
166,"void benchmark_func<int, 256, 8u, 512u>(int, int*) [clone .kd]",0,0,497,246483,246483,4194304,256,0,0,8,24,0,0x7f6958087d80,0x7f685799d8c0,131072,536686,60304600,477208321187409,477208321100874,477208327654821,477208327731249
