Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,248390,248390,4194304,256,0,0,12,24,101312,0x7f31b9407a00,0x7f30b8d9c400,477235041579512,477235042129485,477235043024369,477235043086830
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,248390,248390,4194304,256,0,0,12,24,102784,0x7f31b9407880,0x7f30b8d9c440,477235043097970,477235043657812,477235044564696,477235044633647
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,248390,248390,4194304,256,0,0,12,24,104256,0x7f31b9407700,0x7f30b8d9c480,477235044643906,477235045198139,477235046063582,477235046105995
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,248390,248390,4194304,256,0,0,12,24,106240,0x7f31bb6a1580,0x7f30b8d9c4c0,477235046115655,477235046697345,477235047578629,477235047641552
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,248390,248390,4194304,256,0,0,12,24,107712,0x7f31bb6a1400,0x7f30b8d9c500,477235047657712,477235048211912,477235049083116,477235049147510
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,248390,248390,4194304,256,0,0,16,24,109440,0x7f31bb6a1280,0x7f30b8d9c540,477235049160119,477235049716399,477235050605843,477235050671407
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,248390,248390,4194304,256,0,0,16,24,111168,0x7f31bb6a1100,0x7f30b8d9c580,477235050682757,477235051239445,477235052170970,477235052239313
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,248390,248390,4194304,256,0,0,8,24,112896,0x7f31b9407f80,0x7f30b8d9c5c0,477235052249103,477235052804092,477235053672576,477235053738891
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,248390,248390,4194304,256,0,0,12,24,115136,0x7f31b9407e00,0x7f30b8d9c600,477235053749021,477235054305699,477235055188423,477235055254178
92,"void benchmark_func<float, 256, 8u, 18u>(float, float*) [clone .kd]",0,0,275,248390,248390,4194304,256,0,0,12,24,116608,0x7f31b9407c80,0x7f30b8d9c640,477235055271308,477235055821066,477235056690030,477235056755976
93,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 18u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,278,248390,248390,4194304,256,0,0,16,24,118336,0x7f31b9407b00,0x7f30b8d9c680,477235056769026,477235057323472,477235058228276,477235058294653
94,"void benchmark_func<double, 256, 8u, 18u>(double, double*) [clone .kd]",0,0,281,248390,248390,4194304,256,0,0,16,24,120064,0x7f31b9407980,0x7f30b8d9c6c0,477235058306283,477235058861239,477235059762043,477235059827920
95,"void benchmark_func<__half2, 256, 8u, 18u>(__half2, __half2*) [clone .kd]",0,0,284,248390,248390,4194304,256,0,0,12,24,121792,0x7f31b9407800,0x7f30b8d9c700,477235059838440,477235060396126,477235061268290,477235061338817
96,"void benchmark_func<int, 256, 8u, 18u>(int, int*) [clone .kd]",0,0,287,248390,248390,4194304,256,0,0,12,24,124032,0x7f31b9407680,0x7f30b8d9c740,477235061349287,477235061901733,477235062782057,477235062846695
97,"void benchmark_func<float, 256, 8u, 20u>(float, float*) [clone .kd]",0,0,290,248390,248390,4194304,256,0,0,12,24,125504,0x7f31bb6a1500,0x7f30b8d9c780,477235062863344,477235063415659,477235064278223,477235064344922
98,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 20u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,293,248390,248390,4194304,256,0,0,12,24,127488,0x7f31bb6a1380,0x7f30b8d9c7c0,477235064356412,477235064911506,477235065815350,477235065857190
99,"void benchmark_func<double, 256, 8u, 20u>(double, double*) [clone .kd]",0,0,296,248390,248390,4194304,256,0,0,12,24,129216,0x7f31bb6a1200,0x7f30b8d9c800,477235065867229,477235066448633,477235067359677,477235067397776
100,"void benchmark_func<__half2, 256, 8u, 20u>(__half2, __half2*) [clone .kd]",0,0,299,248390,248390,4194304,256,0,0,12,24,130944,0x7f31bb6a1080,0x7f30b8d9c840,477235067406376,477235067995200,477235068862884,477235068906094
101,"void benchmark_func<int, 256, 8u, 20u>(int, int*) [clone .kd]",0,0,302,248390,248390,4194304,256,0,0,12,24,133440,0x7f31b9407f00,0x7f30b8d9c880,477235068917684,477235069499206,477235070374730,477235070416262
102,"void benchmark_func<float, 256, 8u, 22u>(float, float*) [clone .kd]",0,0,305,248390,248390,4194304,256,0,0,12,24,134912,0x7f31b9407d80,0x7f30b8d9c8c0,477235070433061,477235071007853,477235071874897,477235071916299
103,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 22u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,308,248390,248390,4194304,256,0,0,12,24,136896,0x7f31b9407c00,0x7f30b8d9c900,477235071927129,477235072509140,477235073441624,477235073508915
104,"void benchmark_func<double, 256, 8u, 22u>(double, double*) [clone .kd]",0,0,311,248390,248390,4194304,256,0,0,12,24,138880,0x7f31b9407a80,0x7f30b8d9c940,477235073519355,477235074074267,477235074995871,477235075063742
105,"void benchmark_func<__half2, 256, 8u, 22u>(__half2, __half2*) [clone .kd]",0,0,314,248390,248390,4194304,256,0,0,12,24,140864,0x7f31b9407900,0x7f30b8d9c980,477235075074581,477235075629474,477235076499237,477235076569989
106,"void benchmark_func<int, 256, 8u, 22u>(int, int*) [clone .kd]",0,0,317,248390,248390,4194304,256,0,0,12,24,143616,0x7f31b9407780,0x7f30b8d9c9c0,477235076579609,477235077132520,477235078014924,477235078086497
107,"void benchmark_func<float, 256, 8u, 24u>(float, float*) [clone .kd]",0,0,320,248390,248390,4194304,256,0,0,12,24,145344,0x7f31b9407600,0x7f30b8d9ca00,477235078103826,477235078647887,477235079524851,477235079590034
108,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 24u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,323,248390,248390,4194304,256,0,0,12,24,147584,0x7f31bb6a1480,0x7f30b8d9ca40,477235079602184,477235080158294,477235081089978,477235081157571
109,"void benchmark_func<double, 256, 8u, 24u>(double, double*) [clone .kd]",0,0,326,248390,248390,4194304,256,0,0,12,24,149568,0x7f31bb6a1300,0x7f30b8d9ca80,477235081167140,477235081724221,477235082655905,477235082722917
110,"void benchmark_func<__half2, 256, 8u, 24u>(__half2, __half2*) [clone .kd]",0,0,329,248390,248390,4194304,256,0,0,12,24,151552,0x7f31bb6a1180,0x7f30b8d9cac0,477235082733217,477235083289188,477235084157831,477235084226075
111,"void benchmark_func<int, 256, 8u, 24u>(int, int*) [clone .kd]",0,0,332,248390,248390,4194304,256,0,0,12,24,154304,0x7f31bb6a1000,0x7f30b8d9cb00,477235084237074,477235084791114,477235085675598,477235085740522
112,"void benchmark_func<float, 256, 8u, 28u>(float, float*) [clone .kd]",0,0,335,248390,248390,4194304,256,0,0,12,24,156288,0x7f31b9407e80,0x7f30b8d9cb40,477235085757872,477235086308561,477235087178645,477235087244630
113,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 28u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,338,248390,248390,4194304,256,0,0,12,24,158784,0x7f31b9407d00,0x7f30b8d9cb80,477235087254669,477235087811608,477235088784572,477235088852035
114,"void benchmark_func<double, 256, 8u, 28u>(double, double*) [clone .kd]",0,0,341,248390,248390,4194304,256,0,0,12,24,161024,0x7f31b9407b80,0x7f30b8d9cbc0,477235088863705,477235089418495,477235090382339,477235090450200
115,"void benchmark_func<__half2, 256, 8u, 28u>(__half2, __half2*) [clone .kd]",0,0,344,248390,248390,4194304,256,0,0,12,24,163264,0x7f31b9407a00,0x7f30b8d9cc00,477235090461610,477235091015622,477235091889546,477235091954648
116,"void benchmark_func<int, 256, 8u, 28u>(int, int*) [clone .kd]",0,0,347,248390,248390,4194304,256,0,0,12,24,166528,0x7f31b9407880,0x7f30b8d9cc40,477235091965197,477235092523629,477235093412753,477235093479465
117,"void benchmark_func<float, 256, 8u, 32u>(float, float*) [clone .kd]",0,0,350,248390,248390,4194304,256,0,0,12,24,168512,0x7f31b9407700,0x7f30b8d9cc80,477235093496485,477235094046355,477235094921719,477235094993072
118,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 32u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,353,248390,248390,4194304,256,0,0,12,24,171264,0x7f31bb6a1580,0x7f30b8d9ccc0,477235095002702,477235095555962,477235096526366,477235096595328
119,"void benchmark_func<double, 256, 8u, 32u>(double, double*) [clone .kd]",0,0,356,248390,248390,4194304,256,0,0,12,24,173760,0x7f31bb6a1400,0x7f30b8d9cd00,477235096603768,477235097160449,477235098167174,477235098233163
120,"void benchmark_func<__half2, 256, 8u, 32u>(__half2, __half2*) [clone .kd]",0,0,359,248390,248390,4194304,256,0,0,12,24,176256,0x7f31bb6a1280,0x7f30b8d9cd40,477235098245072,477235098800456,477235099680460,477235099745980
121,"void benchmark_func<int, 256, 8u, 32u>(int, int*) [clone .kd]",0,0,362,248390,248390,4194304,256,0,0,12,24,179776,0x7f31bb6a1100,0x7f30b8d9cd80,477235099756380,477235100314383,477235101218707,477235101286147
122,"void benchmark_func<float, 256, 8u, 40u>(float, float*) [clone .kd]",0,0,365,248390,248390,4194304,256,0,0,12,24,182272,0x7f31b9407f80,0x7f30b8d9cdc0,477235101304067,477235101851670,477235102735514,477235102803034
123,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 40u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,368,248390,248390,4194304,256,0,0,12,24,185536,0x7f31b9407e00,0x7f30b8d9ce00,477235102813204,477235103368895,477235104391459,477235104462879
124,"void benchmark_func<double, 256, 8u, 40u>(double, double*) [clone .kd]",0,0,371,248390,248390,4194304,256,0,0,12,24,188544,0x7f31b9407c80,0x7f30b8d9ce40,477235104472348,477235105024101,477235106036265,477235106103783
125,"void benchmark_func<__half2, 256, 8u, 40u>(__half2, __half2*) [clone .kd]",0,0,374,248390,248390,4194304,256,0,0,12,24,191552,0x7f31b9407b00,0x7f30b8d9ce80,477235106114513,477235106670348,477235107547632,477235107616571
126,"void benchmark_func<int, 256, 8u, 40u>(int, int*) [clone .kd]",0,0,377,248390,248390,4194304,256,0,0,12,24,195840,0x7f31b9407980,0x7f30b8d9cec0,477235107625311,477235108180755,477235109141879,477235109208097
127,"void benchmark_func<float, 256, 8u, 48u>(float, float*) [clone .kd]",0,0,380,248390,248390,4194304,256,0,0,12,24,198592,0x7f31b9407800,0x7f30b8d9cf00,477235109225776,477235109774841,477235110665245,477235110731314
128,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 48u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,383,248390,248390,4194304,256,0,0,12,24,202368,0x7f31b9407680,0x7f30b8d9cf40,477235110744954,477235111298528,477235112338373,477235112406898
129,"void benchmark_func<double, 256, 8u, 48u>(double, double*) [clone .kd]",0,0,386,248390,248390,4194304,256,0,0,12,24,205888,0x7f31bb6a1500,0x7f30b8d9cf80,477235112417858,477235112971815,477235114001100,477235114068942
130,"void benchmark_func<__half2, 256, 8u, 48u>(__half2, __half2*) [clone .kd]",0,0,389,248390,248390,4194304,256,0,0,12,24,209408,0x7f31bb6a1380,0x7f30b8d9cfc0,477235114080412,477235114634062,477235115516306,477235115584040
131,"void benchmark_func<int, 256, 8u, 48u>(int, int*) [clone .kd]",0,0,392,248390,248390,4194304,256,0,0,12,24,214464,0x7f31bb6a1200,0x7f30b8d9d000,477235115593879,477235116149589,477235117133273,477235117201015
132,"void benchmark_func<float, 256, 8u, 56u>(float, float*) [clone .kd]",0,0,395,248390,248390,4194304,256,0,0,12,24,217728,0x7f31bb6a1080,0x7f30b8d9d040,477235117218574,477235117766716,477235118664960,477235118732922
133,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 56u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,398,248390,248390,4194304,256,0,0,12,24,222016,0x7f31b9407f00,0x7f30b8d9d080,477235118743292,477235119298883,477235120360807,477235120432965
134,"void benchmark_func<double, 256, 8u, 56u>(double, double*) [clone .kd]",0,0,401,248390,248390,4194304,256,0,0,12,24,226048,0x7f31b9407d80,0x7f30b8d9d0c0,477235120442485,477235120995210,477235122045134,477235122112899
135,"void benchmark_func<__half2, 256, 8u, 56u>(__half2, __half2*) [clone .kd]",0,0,404,248390,248390,4194304,256,0,0,12,24,230080,0x7f31b9407c00,0x7f30b8d9d100,477235122124669,477235122678577,477235123569301,477235123637416
136,"void benchmark_func<int, 256, 8u, 56u>(int, int*) [clone .kd]",0,0,407,248390,248390,4194304,256,0,0,12,24,235904,0x7f31b9407a80,0x7f30b8d9d140,477235123648055,477235124202904,477235125250908,477235125318660
137,"void benchmark_func<float, 256, 8u, 64u>(float, float*) [clone .kd]",0,0,410,248390,248390,4194304,256,0,0,12,24,239424,0x7f31b9407900,0x7f30b8d9d180,477235125336899,477235125884351,477235126781475,477235126848957
138,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 64u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,413,248390,248390,4194304,256,0,0,12,24,244224,0x7f31b9407780,0x7f30b8d9d1c0,477235126861186,477235127414118,477235128480842,477235128553640
139,"void benchmark_func<double, 256, 8u, 64u>(double, double*) [clone .kd]",0,0,416,248390,248390,4194304,256,0,0,12,24,248768,0x7f31b9407600,0x7f30b8d9d200,477235128563590,477235129114125,477235130178290,477235130245934
140,"void benchmark_func<__half2, 256, 8u, 64u>(__half2, __half2*) [clone .kd]",0,0,419,248390,248390,4194304,256,0,0,12,24,253312,0x7f31bb6a1480,0x7f30b8d9d240,477235130256353,477235130811252,477235131707096,477235131772601
141,"void benchmark_func<int, 256, 8u, 64u>(int, int*) [clone .kd]",0,0,422,248390,248390,4194304,256,0,0,8,24,255552,0x7f31bb6a1300,0x7f30b8d9d280,477235131782840,477235132340699,477235135361352,477235135430462
142,"void benchmark_func<float, 256, 8u, 80u>(float, float*) [clone .kd]",0,0,425,248390,248390,4194304,256,0,0,12,24,259840,0x7f31bb6a1180,0x7f30b8d9d2c0,477235135451772,477235135995595,477235136903279,477235136974919
143,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 80u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,428,248390,248390,4194304,256,0,0,12,24,265664,0x7f31bb6a1000,0x7f30b8d9d300,477235136986329,477235137539921,477235138620086,477235138685822
144,"void benchmark_func<double, 256, 8u, 80u>(double, double*) [clone .kd]",0,0,431,248390,248390,4194304,256,0,0,12,24,271232,0x7f31b9407e80,0x7f30b8d9d340,477235138698782,477235139254329,477235140346493,477235140414435
145,"void benchmark_func<__half2, 256, 8u, 80u>(__half2, __half2*) [clone .kd]",0,0,434,248390,248390,4194304,256,0,0,8,24,273216,0x7f31b9407d00,0x7f30b8d9d380,477235140424225,477235140979776,477235143303786,477235143370821
146,"void benchmark_func<int, 256, 8u, 80u>(int, int*) [clone .kd]",0,0,437,248390,248390,4194304,256,0,0,8,24,275712,0x7f31b9407b80,0x7f30b8d9d3c0,477235143381101,477235143938669,477235146258679,477235146331598
147,"void benchmark_func<float, 256, 8u, 96u>(float, float*) [clone .kd]",0,0,440,248390,248390,4194304,256,0,0,12,24,280768,0x7f31b9407a00,0x7f30b8d9d400,477235146348047,477235146892282,477235147826526,477235147893944
148,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 96u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,443,248390,248390,4194304,256,0,0,12,24,287616,0x7f31b9407880,0x7f30b8d9d440,477235147905034,477235148459648,477235149574853,477235149642046
149,"void benchmark_func<double, 256, 8u, 96u>(double, double*) [clone .kd]",0,0,446,248390,248390,4194304,256,0,0,12,24,294208,0x7f31b9407700,0x7f30b8d9d480,477235149652516,477235150208616,477235151334221,477235151379029
150,"void benchmark_func<__half2, 256, 8u, 96u>(__half2, __half2*) [clone .kd]",0,0,449,248390,248390,4194304,256,0,0,8,24,296960,0x7f31bb6a1580,0x7f30b8d9d4c0,477235151389379,477235151967664,477235154976637,477235155027730
151,"void benchmark_func<int, 256, 8u, 96u>(int, int*) [clone .kd]",0,0,452,248390,248390,4194304,256,0,0,8,24,299968,0x7f31bb6a1400,0x7f30b8d9d500,477235155038350,477235155609919,477235158682893,477235158750260
152,"void benchmark_func<float, 256, 8u, 128u>(float, float*) [clone .kd]",0,0,455,248390,248390,4194304,256,0,0,8,24,302720,0x7f31bb6a1280,0x7f30b8d9d540,477235158768359,477235159316335,477235162416349,477235162483680
153,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 128u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,458,248390,248390,4194304,256,0,0,12,24,305472,0x7f31bb6a1100,0x7f30b8d9d580,477235162494159,477235163050111,477235166168525,477235166237539
154,"void benchmark_func<double, 256, 8u, 128u>(double, double*) [clone .kd]",0,0,461,248390,248390,4194304,256,0,0,12,24,308224,0x7f31b9407f80,0x7f30b8d9d5c0,477235166248789,477235166802785,477235169873199,477235169945279
155,"void benchmark_func<__half2, 256, 8u, 128u>(__half2, __half2*) [clone .kd]",0,0,464,248390,248390,4194304,256,0,0,8,24,310976,0x7f31b9407e00,0x7f30b8d9d600,477235169955959,477235170506321,477235173551615,477235173621980
156,"void benchmark_func<int, 256, 8u, 128u>(int, int*) [clone .kd]",0,0,467,248390,248390,4194304,256,0,0,8,24,313216,0x7f31b9407c80,0x7f30b8d9d640,477235173632900,477235174184898,477235177236912,477235177307761
157,"void benchmark_func<float, 256, 8u, 256u>(float, float*) [clone .kd]",0,0,470,248390,248390,4194304,256,0,0,8,24,315968,0x7f31b9407b00,0x7f30b8d9d680,477235177329480,477235177871315,477235180191166,477235180266387
158,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 256u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,473,248390,248390,4194304,256,0,0,12,24,318720,0x7f31b9407980,0x7f30b8d9d6c0,477235180277747,477235180823809,477235183146699,477235183216053
159,"void benchmark_func<double, 256, 8u, 256u>(double, double*) [clone .kd]",0,0,476,248390,248390,4194304,256,0,0,12,24,321472,0x7f31b9407800,0x7f30b8d9d700,477235183226613,477235183779982,477235186127353,477235186197589
160,"void benchmark_func<__half2, 256, 8u, 256u>(__half2, __half2*) [clone .kd]",0,0,479,248390,248390,4194304,256,0,0,8,24,324224,0x7f31b9407680,0x7f30b8d9d740,477235186209769,477235186761276,477235189080807,477235189156225
161,"void benchmark_func<int, 256, 8u, 256u>(int, int*) [clone .kd]",0,0,482,248390,248390,4194304,256,0,0,8,24,326464,0x7f31bb6a1500,0x7f30b8d9d780,477235189167725,477235189715050,477235193118746,477235193189499
162,"void benchmark_func<float, 256, 8u, 512u>(float, float*) [clone .kd]",0,0,485,248390,248390,4194304,256,0,0,8,24,329216,0x7f31bb6a1380,0x7f30b8d9d7c0,477235193212408,477235193752188,477235197134764,477235197210292
163,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 512u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,488,248390,248390,4194304,256,0,0,12,24,331968,0x7f31bb6a1200,0x7f30b8d9d800,477235197221072,477235197767407,477235201214783,477235201286024
164,"void benchmark_func<double, 256, 8u, 512u>(double, double*) [clone .kd]",0,0,491,248390,248390,4194304,256,0,0,12,24,334720,0x7f31bb6a1080,0x7f30b8d9d840,477235201297384,477235201848226,477235205285042,477235205360357
165,"void benchmark_func<__half2, 256, 8u, 512u>(__half2, __half2*) [clone .kd]",0,0,494,248390,248390,4194304,256,0,0,8,24,337472,0x7f31b9407f00,0x7f30b8d9d880,477235205371507,477235205918965,477235209309540,477235209380800
166,"void benchmark_func<int, 256, 8u, 512u>(int, int*) [clone .kd]",0,0,497,248390,248390,4194304,256,0,0,8,24,0,0x7f31b9407d80,0x7f30b8d9d8c0,477235209392100,477235209943303,477235215845090,477235215919469
